ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.006643,16.261633,4.753773,1.381725,71621802225.74,0.01212,5.1e-05
0,16.261633,4.753773,1.381725,71621802225.74,0,4.8e-05
0.005583,16.059393,4.694652,1.364541,70731065855.36,-0.01244,5.6e-05
0,16.059393,4.694652,1.364541,70731065855.36,0,2.8e-05
0.008672,16.471364,4.815084,1.399545,72545528832.06,0.02565,4.8e-05
0.002958,16.561249,4.84136,1.407183,72941411663.34,0.00546,4.3e-05
0.000645,16.59121,4.850119,1.409729,73073372607.1,0.00181,3.6e-05
0.007559,17.145499,5.012154,1.456826,75514650066.66,0.03341,4.2e-05
0.001348,17.070595,4.990258,1.450461,75184747707.26,-0.00437,3.8e-05
0.001376,17.182951,5.023103,1.460008,75679601246.36,0.00658,3.5e-05
0.000557,17.212912,5.031861,1.462554,75811562190.12,0.00174,3.2e-05
0.006043,16.943258,4.953033,1.439642,74623913696.28,-0.01567,3.5e-05
0.003813,16.711056,4.885153,1.419912,73601216382.14,-0.0137,3.5e-05
0.002544,16.651133,4.867636,1.41482,73337294494.62,-0.00359,3.4e-05
0.001712,16.711056,4.885153,1.419912,73601216382.14,0.0036,3.3e-05
0,16.711056,4.885153,1.419912,73601216382.14,0,3.1e-05
0.009235,17.227893,5.036241,1.463827,75877542662,0.03093,3.5e-05
